,timestamp,track,satisfaction,pacing,location,week
41,8/5/2016 13:43:43,Intro,5,4,SV,7
42,8/5/2016 13:44:24,Intro,4,4,SV,7
43,8/5/2016 13:43:17,Intro,4,3,SV,7
44,8/5/2016 13:51:18,Intro,5,3,SV,7
45,8/5/2016 13:43:35,Intro,4,2,SV,7
46,8/7/2016 17:45:06,Apps,3,3,SV,7
0,8/5/2016 11:13:01,Apps,5,5,SF,7
1,8/5/2016 11:17:11,Apps,3,3,SF,7
2,8/5/2016 11:17:52,Apps,5,3,SF,7
3,8/5/2016 11:18:01,Apps,5,4,SF,7
4,8/5/2016 11:20:15,Apps,4,3,SF,7
5,8/5/2016 11:21:10,Apps,5,3,SF,7
6,8/5/2016 12:11:04,Apps,5,3,SF,7
7,8/5/2016 19:14:21,Apps,4,4,SF,7
8,8/5/2016 11:39:18,Games,5,3,SF,7
9,8/5/2016 12:27:18,Games,5,4,SF,7
10,8/5/2016 11:20:43,Intro,4,3,SF,7
11,8/5/2016 11:38:52,Intro,4,4,SF,7
12,8/5/2016 11:56:23,Intro,5,3,SF,7
13,8/5/2016 12:35:08,Intro,5,3,SF,7
14,8/7/2016 10:45:47,Intro,4,5,SF,7
15,8/5/2016 11:21:38,VR,5,3,SF,7
16,8/8/2016 8:35:18,VR,1,3,SF,7
17,8/8/2016 8:39:01,VR,3,5,SF,7
18,8/8/2016 9:41:39,VR,2,2,SF,7
0,8/5/2016 1:39:41,,3,3,Taipei,7
1,8/5/2016 1:40:47,,4,3,Taipei,7
2,8/5/2016 1:40:50,,4,3,Taipei,7
3,8/5/2016 1:42:44,,4,4,Taipei,7
4,8/5/2016 1:45:13,,5,4,Taipei,7
5,8/5/2016 1:45:39,,4,3,Taipei,7
6,8/5/2016 1:49:21,,4,3,Taipei,7
7,8/8/2016 1:30:34,,5,3,Taipei,7
8,8/8/2016 1:33:45,,5,3,Taipei,7
9,8/8/2016 1:49:29,,5,3,Taipei,7
10,8/8/2016 1:51:00,,3,3,Taipei,7
0,7/1/2016 13:27:56,Apps,3,4,SV,2
1,7/1/2016 13:29:33,Apps,3,5,SV,2
2,7/1/2016 13:29:43,Apps,3,3,SV,2
3,7/1/2016 13:30:28,Apps,3,4,SV,2
4,7/1/2016 13:34:11,Apps,3,3,SV,2
5,7/1/2016 13:35:20,Apps,3,3,SV,2
6,7/1/2016 16:35:14,Apps,3,3,SV,2
7,7/1/2016 17:01:13,Apps,3,4,SV,2
8,7/2/2016 9:50:36,Apps,3,3,SV,2
9,7/1/2016 10:36:57,Games,3,3,SV,2
10,7/1/2016 10:41:44,Games,3,5,SV,2
11,7/1/2016 10:47:58,Games,3,3,SV,2
12,7/1/2016 10:56:51,Games,3,3,SV,2
13,7/4/2016 23:02:16,Intro,3,4,SV,2
14,7/1/2016 13:27:10,Apps,4,3,SV,2
15,7/1/2016 13:28:59,Apps,4,3,SV,2
16,7/1/2016 13:29:07,Apps,4,3,SV,2
17,7/1/2016 13:29:40,Apps,4,4,SV,2
18,7/1/2016 13:30:05,Apps,4,4,SV,2
19,7/1/2016 13:30:53,Apps,4,3,SV,2
20,7/1/2016 13:31:04,Apps,4,4,SV,2
21,7/1/2016 13:39:46,Apps,4,3,SV,2
22,7/1/2016 13:41:30,Apps,4,4,SV,2
23,7/1/2016 13:49:17,Apps,4,3,SV,2
24,7/1/2016 15:59:22,Apps,4,3,SV,2
25,7/1/2016 15:59:54,Apps,4,3,SV,2
26,7/1/2016 16:02:57,Apps,4,3,SV,2
27,7/1/2016 16:30:11,Apps,4,4,SV,2
28,7/1/2016 16:32:24,Apps,4,4,SV,2
29,7/1/2016 17:51:29,Apps,4,4,SV,2
30,7/1/2016 9:46:04,Games,4,4,SV,2
31,7/1/2016 9:47:30,Games,4,2,SV,2
32,7/1/2016 10:41:18,Games,4,3,SV,2
33,7/1/2016 10:41:34,Games,4,2,SV,2
34,7/1/2016 10:45:47,Games,4,3,SV,2
35,7/1/2016 13:12:22,Intro,4,3,SV,2
36,7/1/2016 13:19:07,Intro,4,3,SV,2
37,7/1/2016 13:25:54,Intro,4,3,SV,2
38,7/1/2016 13:28:33,Intro,4,4,SV,2
39,7/1/2016 13:29:01,Intro,4,4,SV,2
40,7/1/2016 13:33:15,Intro,4,3,SV,2
41,7/1/2016 13:33:28,Intro,4,3,SV,2
42,7/1/2016 13:29:47,Apps,5,3,SV,2
43,7/1/2016 13:30:07,Apps,5,3,SV,2
44,7/1/2016 13:32:18,Apps,5,4,SV,2
45,7/1/2016 16:01:17,Apps,5,3,SV,2
46,7/1/2016 16:02:10,Apps,5,4,SV,2
47,7/1/2016 16:04:18,Apps,5,3,SV,2
48,7/1/2016 16:44:38,Apps,5,3,SV,2
49,7/1/2016 9:41:30,Games,5,4,SV,2
50,7/1/2016 10:43:14,Games,5,2,SV,2
51,7/1/2016 10:47:06,Games,5,3,SV,2
52,7/1/2016 10:47:57,Games,5,4,SV,2
53,7/1/2016 13:25:32,Intro,5,2,SV,2
54,7/1/2016 13:26:00,Intro,5,5,SV,2
55,7/1/2016 13:28:10,Intro,5,2,SV,2
0,7/29/2016 19:18:44,,4,3,SG,6
1,7/29/2016 23:12:48,,5,5,SG,6
2,7/30/2016 5:46:01,,5,3,SG,6
3,7/30/2016 7:02:47,,4,3,SG,6
4,7/31/2016 7:40:14,,3,5,SG,6
5,7/31/2016 8:34:29,,5,3,SG,6
0,7/1/2016 6:41:31,Apps,3,2,NY,2
1,7/1/2016 9:27:32,Apps,3,4,NY,2
2,7/1/2016 6:46:34,Games,3,5,NY,2
3,7/1/2016 6:47:56,Games,3,3,NY,2
4,7/1/2016 6:33:45,Apps,4,3,NY,2
5,7/1/2016 6:35:15,Apps,4,4,NY,2
6,7/1/2016 6:36:41,Apps,4,3,NY,2
7,7/1/2016 6:41:43,Apps,4,3,NY,2
8,7/1/2016 7:00:39,Apps,4,2,NY,2
9,7/1/2016 8:58:54,Apps,4,4,NY,2
10,7/1/2016 10:32:25,Apps,4,3,NY,2
11,7/1/2016 6:30:49,Games,4,4,NY,2
12,7/1/2016 6:43:54,Games,4,4,NY,2
13,7/1/2016 7:02:22,Games,4,4,NY,2
14,7/1/2016 6:27:37,Intro,4,3,NY,2
15,7/1/2016 6:31:09,Intro,4,3,NY,2
16,7/1/2016 6:31:31,Intro,4,4,NY,2
17,7/1/2016 6:46:33,Intro,4,3,NY,2
18,7/1/2016 6:27:51,Apps,5,3,NY,2
19,7/1/2016 6:30:01,Apps,5,3,NY,2
20,7/1/2016 6:30:05,Apps,5,3,NY,2
21,7/1/2016 6:33:55,Apps,5,4,NY,2
22,7/1/2016 6:36:10,Apps,5,3,NY,2
23,7/1/2016 6:41:54,Apps,5,4,NY,2
24,7/1/2016 6:27:48,Games,5,4,NY,2
25,7/1/2016 6:31:02,Intro,5,3,NY,2
26,7/1/2016 6:31:12,Intro,5,3,NY,2
27,7/1/2016 6:36:15,Intro,5,3,NY,2
0,8/5/2016 12:34:16,Apps,3,3,NY,7
1,8/5/2016 12:35:50,Apps,5,3,NY,7
